username,email,password,password_confirmation,city_id
carjug2,carjug@gmail.com,handbook,handbook,798
rcmartin85,rcmartin@uw.edu,robchris1985,robchris1985,798
karilo,karilo@email.com,klo1990,klo1990,798
alicer,alicer@email.com,alicepalace,alicepalace,798
shannac,shanna@email.com,shannapaul,shannapaul,798
andrew,andrew@email.com,andrew,andrew,798
asher,ashleehouse@gmail.com,asherinthewhat,asherinthewhat,798
lexipi,lexi@gmail.com,lexpisquared,lexpisquared,798
samsam,sam@gmail.com,samdickens,samdickens,798
saayeh,saayehf@gmail.com,saayfi,saayfi,798
starj,starj@gmail.com,starlite,starlite,798
alex,alex@email.com,alex1,alex1,798
betty,bettythedog@email.com,bettydog,bettydog,798
jeffrey,jjroot@gmail.com,effrey,effrey,798
lilah,lilahthedog@gmail.com,lilahdog,lilahdog,798
molly,mollydog@gmail.com,mollydog,mollydog,798
devin,devinf@email.com,devinf,devinf,798
blaket,blakethom@gmail.com,blake8,blake8,798
loganj,loganj@email.com,logezy,logezy,798
